tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,9334569
Pthreads,2,500000,2000,4783271
Pthreads,4,250000,2000,2506133
Pthreads,1,1000000,4000,
Pthreads,2,500000,4000,
Pthreads,4,250000,4000,
Pthreads,1,1000000,8000,
Pthreads,2,500000,8000,
Pthreads,4,250000,8000,
Pthreads,1,2000000,2000,
Pthreads,2,1000000,2000,
Pthreads,4,500000,2000,
Pthreads,1,2000000,4000,
Pthreads,2,1000000,4000,
Pthreads,4,500000,4000,
Pthreads,1,2000000,8000,
Pthreads,2,1000000,8000,
Pthreads,4,500000,8000,
Pthreads,1,4000000,2000,
Pthreads,2,2000000,2000,
Pthreads,4,1000000,2000,
Pthreads,1,4000000,4000,
Pthreads,2,2000000,4000,
Pthreads,4,1000000,4000,
Pthreads,1,4000000,8000,
Pthreads,2,2000000,8000,
Pthreads,4,1000000,8000,
OpenMP,1,1000000,2000,
OpenMP,2,500000,2000,
OpenMP,4,250000,2000,
OpenMP,1,1000000,4000,
OpenMP,2,500000,4000,
OpenMP,4,250000,4000,
OpenMP,1,1000000,8000,
OpenMP,2,500000,8000,
OpenMP,4,250000,8000,
OpenMP,1,2000000,2000,
OpenMP,2,1000000,2000,
OpenMP,4,500000,2000,
OpenMP,1,2000000,4000,
OpenMP,2,1000000,4000,
OpenMP,4,500000,4000,
OpenMP,1,2000000,8000,
OpenMP,2,1000000,8000,
OpenMP,4,500000,8000,
OpenMP,1,4000000,2000,
OpenMP,2,2000000,2000,
OpenMP,4,1000000,2000,
OpenMP,1,4000000,4000,
OpenMP,2,2000000,4000,
OpenMP,4,1000000,4000,
OpenMP,1,4000000,8000,
OpenMP,2,2000000,8000,
OpenMP,4,1000000,8000,
