"Size","Repetitions","Processes","N","Mean(microseconds)","Error"
250000,2000,4,5,3400655.6,191274.10815722
500000,2000,2,5,4919425.8,30093.0597457288
1000000,2000,1,5,9344097.2,90455.2661720698
250000,4000,4,5,6914404.8,362255.490212309
500000,4000,2,4,9863394.25,33726.4523936702
1000000,4000,1,5,18813466.6,277407.351236841
250000,8000,4,5,15583254.8,4020040.73536373
500000,8000,2,5,19757047.8,557319.94154297
1000000,8000,1,5,37318291,222003.376695266
500000,2000,4,5,6696656.6,475632.979508717
1000000,2000,2,5,9760734.8,349701.216309952
2000000,2000,1,5,18543536.6,30738.8734689481
500000,4000,4,5,14494920,474696.930348512
1000000,4000,2,5,19408381,242733.731936457
2000000,4000,1,5,37124219.4,38205.1591469006
500000,8000,4,5,27486236.8,2195289.5603755
1000000,8000,2,5,39172771.4,629372.216902716
2000000,8000,1,5,74187010.6,104288.177253896
1000000,2000,4,5,13717726.2,941420.97475171
2000000,2000,2,5,19253261.2,61012.3022607736
4000000,2000,1,5,37064795.6,47381.1930341565
1000000,4000,4,5,32011541.2,9487514.26382089
2000000,4000,2,5,38727947.8,392768.807009874
4000000,4000,1,5,74139365.8,119502.688224408
1000000,8000,4,5,71903099.2,27193119.8712675
2000000,8000,2,5,77870392.2,611195.658561201
4000000,8000,1,5,148402119.4,177511.26985079
