"Code","Processes","N","Mean","Error"
"coll",2,10,0.0312,0.00116619037896906
"coll",4,10,0.0329,0.0018138357147217
"coll",8,10,0.0341,0.0013
"coll",16,10,0.0372,0.00193907194296653
"coll",32,10,0.0437,0.00173493515728975
"coll",64,10,0.0589,0.0017
"coll",128,10,0.0865,0.0025
"coll",256,10,0.141,0.00264575131106458
"sr",2,10,0.0308,0.00198997487421324
"sr",4,10,0.032,0.00134164078649988
"sr",8,10,0.034,0.00167332005306815
"sr",16,10,0.0379,0.00202237484161567
"sr",32,10,0.0451,0.00164012194668567
"sr",64,10,0.0591,0.00113578166916005
"sr",128,10,0.0862,0.000748331477354784
"sr",256,10,0.1412,0.00396988664825584
