"","Code","Width","Frames","N","Mean","Error"
"1","wave",1024,100,10,8.53735,0.0437339513421783
"2","wave",1024,200,10,17.00766,0.077824857211562
"3","wave",1024,400,10,33.79932,0.0779267964181772
"4","wave",2048,100,10,34.18976,0.0983113848951385
"5","wave",2048,200,10,68.36127,0.176792539718168
"6","wave",2048,400,10,136.38781,0.203426180468494
"7","wavecuda1par",1024,100,10,0.60512,0.00112498888883403
"8","wavecuda1par",1024,200,10,0.82536,0.0012134249049694
"9","wavecuda1par",1024,400,10,1.83991,0.00173231059570737
"10","wavecuda1par",2048,100,10,2.36858,0.00316537517523594
"11","wavecuda1par",2048,200,10,3.72842,0.00137462722219514
"12","wavecuda1par",2048,400,10,7.4436,0.00544793538875056
"13","wavecuda1seq",1024,100,10,58.03817,0.0419743028530551
"14","wavecuda1seq",1024,200,10,116.10395,0.0316464294984443
"15","wavecuda1seq",1024,400,10,232.09332,0.0457739183378518
"16","wavecuda1seq",2048,100,10,232.1432,0.0345518740446857
"17","wavecuda1seq",2048,200,10,464.26613,0.123142527584918
"18","wavecuda1seq",2048,400,10,928.61602,0.308322402040456
