"Width","Frames","BlockSize","N","Mean","Error"
1024,100,16,10,0.06507,0.000118743420870379
1024,100,32,10,0.06499,7.0000000000002e-05
1024,100,64,10,0.06499,3.00000000000009e-05
1024,100,128,10,0.06498,4.00000000000011e-05
1024,100,256,10,0.06603,4.58257569495597e-05
1024,200,16,10,0.12966,0.000637495098020369
1024,200,32,10,0.12945,0.000531507290636732
1024,200,64,10,0.12917,0.00120668968670491
1024,200,128,10,0.12938,0.00132951118836961
1024,200,256,10,0.1312,0.00108811764069884
1024,400,16,10,0.24625,0.00104139329746259
1024,400,32,10,0.24565,0.000987167665596879
1024,400,64,10,0.24584,0.000983056458195559
1024,400,128,10,0.24559,0.0014761097520171
1024,400,256,10,0.24912,0.000776916983982203
2048,100,16,10,0.13081,0.00181022098098547
2048,100,32,10,0.12937,0.00135207248326412
2048,100,64,10,0.12976,0.000838093073590277
2048,100,128,10,0.12862,0.00237773000990441
2048,100,256,10,0.13119,0.00105399240983985
2048,200,16,10,0.24811,0.000526212884676915
2048,200,32,10,0.24347,0.00111449540151586
2048,200,64,10,0.24274,0.00183095603442573
2048,200,128,10,0.24379,0.00136926987843887
2048,200,256,10,0.24649,0.000805543294925849
2048,400,16,10,0.47818,0.000787146746166185
2048,400,32,10,0.47001,0.0010034440691937
2048,400,64,10,0.47013,0.00127440182046323
2048,400,128,10,0.47047,0.00112876038201206
2048,400,256,10,0.47764,0.000737834669827866
